2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-12-06|13:24:50|Invoice 1010 paid|Alex|1180.00
2023-07-11|18:57:20|Freelance Project|name 1|1230.00
2024-11-21|18:23:22|Retail Purchase|Walmart|-74.33
2024-02-09|05:29:45|Streaming Service|Netflix|-10.50
2024-05-11|02:47:13|Website Hosting|Google|-24.95
2023-08-04|20:48:40|Business Tools|Microsoft|-275.80
2025-01-28|08:05:27|Invoice 1002 paid|name 4|875.10
2023-06-22|08:15:02|Creative Services|name 2|875.75
2024-10-22|07:00:48|Office Tools|Microsoft|-188.00
2024-02-19|09:44:37|App Subscription|Apple|-7.99
2023-09-27|08:02:14|Design Invoice|name 1|1199.00
2023-01-19|12:18:33|Consulting Fee|name 2|1142.17
2024-04-04|17:45:15|Design Invoice|Alex|1185.00
2023-10-17|16:25:31|Freelance Contract|name 2|1120.00
2023-06-13|04:56:23|Invoice 1007 paid|Yuchen|1066.25
2024-02-01|20:31:47|Software License|Microsoft|-299.99
2023-04-22|18:55:42|Online Purchase|Amazon|-83.79
2024-10-27|20:15:27|Invoice 1009 paid|name 4|970.00
2023-05-26|20:03:38|Tech Support|name 1|1145.65
2025-01-11|22:38:56|Freelance Service|Yuchen|986.74
2023-11-11|14:14:06|Entertainment|Netflix|-13.99
2024-02-24|00:27:58|Web Design|name 4|1350.00
2024-01-15|06:36:33|Design Fee|name 1|1170.00
2023-06-17|17:38:50|Streaming Subscription|Netflix|-19.99
2024-10-02|22:36:59|Subscription Service|Apple|-14.50
2024-12-21|08:14:39|Subscription Fee|YouTube|-11.99
2025-03-03|13:55:36|Consulting Fee|name 1|1050.00
2023-12-16|17:36:04|Development Fee|name 2|1215.45
2025-01-15|05:47:10|Monthly Subscription|Netflix|-29.99
2023-05-21|07:15:29|E-commerce Order|Walmart|-134.00
2025-04-10|00:12:56|Invoice 1005 paid|Yuchen|1105.00
2023-08-18|15:42:06|Service Invoice|name 2|1170.00
2025-03-26|04:29:39|Software Services|Microsoft|-320.49
2025-02-27|02:23:49|Office Supplies|Walmart|-97.22
2025-01-05|02:17:05|Freelance Income|Yuchen|950.00
2024-09-17|03:29:32|Creative Work|Yuchen|1020.00
2024-12-11|03:59:31|Tech Expense|Amazon|-120.00
2025-02-14|19:02:23|Consulting Invoice|name 2|1165.10
2024-09-02|10:36:05|Marketing Ads|Facebook|-189.99
2023-02-06|11:13:05|Contract Payment|name 3|1320.00
2024-07-30|05:36:29|Invoice 1008 paid|name 4|950.00
2025-04-05|09:39:12|Ad Campaign|Facebook|-150.00
2024-03-15|08:04:48|Marketing Project|name 1|1400.00
2023-01-06|18:09:27|Office Supplies|Walmart|-85.27
2024-04-14|13:03:47|Streaming Service|Netflix|-15.99
2024-01-30|01:54:26|Transportation|Uber|-29.99
2023-10-07|12:18:33|Project Completion|Alex|1340.00
2024-03-25|13:20:10|Development Fee|name 3|1244.60
2024-03-10|17:22:06|Software Tools|Google|-39.99
2023-06-08|14:07:40|Online Purchase|Uber|-45.00
2024-07-15|09:21:56|Cloud Services|Google|-66.66
2023-02-23|17:38:19|Design Work|Alex|1500.50
2025-04-01|19:11:01|Design Project|name 3|990.00
2023-08-13|01:11:08|Transportation|Uber|-38.40
2024-11-01|10:56:39|Transportation|Uber|-42.25
2023-01-24|16:50:03|New Laptop|Apple|-1299.00
2025-03-20|22:37:32|Streaming Service|YouTube|-14.25
2024-08-23|06:25:43|Entertainment|Netflix|-17.00
2024-11-16|04:52:59|Freelance Work|Yuchen|1090.10
2024-09-07|00:17:44|Freelance Project|name 4|1185.00
2024-12-31|12:40:50|Business Expense|Facebook|-90.00
2025-03-16|10:04:43|Tech Purchase|Amazon|-199.95
2025-02-19|07:42:11|Streaming Service|YouTube|-12.00
2023-08-28|19:50:29|Development Fee|name 3|990.75
2025-03-21|15:15:51|Invoice 1004 paid|name 2|1225.20
2023-07-25|12:55:18|Retail Expense|Amazon|-220.00
2024-05-16|16:25:03|Development Fee|name 3|980.00
2023-09-12|13:00:11|Tech Purchase|Amazon|-345.00
2024-09-22|17:19:45|Office Supplies|Walmart|-59.20
2024-11-26|09:07:44|Contract Work|name 1|1005.75
2023-03-12|21:30:16|Freelance Invoice|name 4|680.00
2024-01-20|20:25:42|Online Tools|Microsoft|-33.33
2025-04-18|05:45:38|Marketing Work|name 1|730.25
2023-10-12|02:47:20|Ads Payment|Google|-99.00
2025-03-07|06:48:22|New Phone|Google|-899.99
2025-03-30|04:02:47|Subscription Service|Netflix|-18.00
2024-05-06|12:00:22|Invoice 1006 paid|name 4|1220.00
2024-03-05|03:50:19|Freelance Service|Yuchen|1199.50
2025-04-09|08:26:38|Office Tools|Microsoft|-92.00
2023-08-09|11:22:10|Payment Received|Alex|1250.50
2023-07-06|03:19:42|Tech Order|Apple|-1099.00
2025-01-10|15:53:14|Tech Supplies|Google|-88.88
2024-04-29|16:13:53|Retail Order|Walmart|-78.20
2024-06-04|00:23:59|Project Payment|Alex|1370.00
2024-05-02|23:19:44|App Subscription|Apple|-9.99
2024-09-12|13:00:11|Tech Purchase|Amazon|-345.00
2024-04-24|03:32:18|Project Completion|name 2|1099.90
2023-04-27|08:36:18|Consulting Fee|name 2|1355.90
2025-03-30|04:02:47|Subscription Service|Netflix|-18.00
2025-01-03|03:12:41|Invoice 1001 paid|Alex|1210.44
2025-02-14|14:24:57|Invoice 1003 paid|Yuchen|943.82
2023-04-09|08:26:38|Office Tools|Microsoft|-92.00
2024-02-29|13:10:31|Office Supplies|Walmart|-82.35
2023-04-02|12:00:00|Test Entry|Alex|0.00
2023-02-10|01:56:28|Online Ads|Facebook|-174.00
